Unnamed: 0,title,Published_on,News_agency,URL,summary,Country,language,tag,Merged
0,Alexei Navalny death latest: Putin critic’s ‘bruised body seen in morgue’ as family demands it is returned - The Independent,"Mon, 19 Feb 2024 00:01:00 GMT",The Independent,https://news.google.com/rss/articles/CBMic2h0dHBzOi8vd3d3LmluZGVwZW5kZW50LmNvLnVrL25ld3Mvd29ybGQvZXVyb3BlL2FsZXhlaS1uYXZhbG55LWJvZHktbWlzc2luZy1kZWF0aC1ydXNzaWEtcHV0aW4tcHJpc29uLWIyNDk4MTU2Lmh0bWzSAQA?oc=5,Alexei Navalny death latest: Putin critic’s ‘bruised body seen in morgue’ as family demands it is returnedThe IndependentNavalny's body reportedly found with 'signs of bruising' as Russia claims he died of 'sudden death syndrome'Fox NewsUkrainian official: Navalny’s death shows ‘Putin is the ultimate evil’The HillOpinion: One man who stood up to a dictatorshipCNNA Stunned Russian Opposition in Exile Considers a Future Without NavalnyThe New York Times,US,en,World,alexei navalny death latest putin critic bruised morgue family demand returned independent alexei navalny death latest putin critic bruised morgue family demand returnedthe independentnavalnys reportedly found sign bruising russia claim sudden death syndromefox newsukrainian official navalny death show putin ultimate hillopinion stood dictatorshipcnna stunned russian opposition exile considers future without navalnythe time
1,U.S. military reports 1st Houthi unmanned underwater vessel in Red Sea - CBS News,"Sun, 18 Feb 2024 22:23:17 GMT",CBS News,https://news.google.com/rss/articles/CBMiW2h0dHBzOi8vd3d3LmNic25ld3MuY29tL25ld3MvdXMtbWlsaXRhcnktc3RyaWtlcy1ob3V0aGktdW5tYW5uZWQtdW5kZXJ3YXRlci12ZXNzZWwtcmVkLXNlYS_SAV9odHRwczovL3d3dy5jYnNuZXdzLmNvbS9hbXAvbmV3cy91cy1taWxpdGFyeS1zdHJpa2VzLWhvdXRoaS11bm1hbm5lZC11bmRlcndhdGVyLXZlc3NlbC1yZWQtc2VhLw?oc=5,"U.S. military reports 1st Houthi unmanned underwater vessel in Red SeaCBS NewsNavy counters Houthi Red Sea attacks in its first major battle at sea of the 21st centuryCBS NewsWhat it's like aboard a US warship on the frontlines of the Red Sea fight: Reporter's notebookABC NewsUS launches 5 airstrikes against Houthi anti-ship missiles, destroys underwater droneFox NewsOne U.S. Navy secret weapon in the Red Sea? Sailor moraleCBS News",US,en,World,military report houthi unmanned underwater vessel military report houthi unmanned underwater vessel seacbs newsnavy counter houthi attack first major battle centurycbs newswhat aboard warship frontlines fight reporter notebookabc newsus launch airstrikes houthi antiship missile destroys underwater dronefox newsone secret weapon sailor moralecbs
2,The latest on the Israel-Hamas war: Live updates - CNN,"Sun, 18 Feb 2024 21:21:00 GMT",CNN,https://news.google.com/rss/articles/CBMiV2h0dHBzOi8vd3d3LmNubi5jb20vbWlkZGxlZWFzdC9saXZlLW5ld3MvaXNyYWVsLWhhbWFzLXdhci1nYXphLW5ld3MtMDItMTgtMjQvaW5kZXguaHRtbNIBW2h0dHBzOi8vYW1wLmNubi5jb20vY25uL21pZGRsZWVhc3QvbGl2ZS1uZXdzL2lzcmFlbC1oYW1hcy13YXItZ2F6YS1uZXdzLTAyLTE4LTI0L2luZGV4Lmh0bWw?oc=5,"The latest on the Israel-Hamas war: Live updatesCNNOverwhelmed by War, Another Gazan Hospital Is Declared 'Not Functional'The New York TimesGaza's Nasser Hospital 'not functional' as Israeli troops raid complexThe Washington PostIDF: Hamas terrorists disguised as doctors found in Gaza hospitalThe Jerusalem Post",US,en,World,latest israelhamas update latest israelhamas updatescnnoverwhelmed another gazan hospital declared functionalthe timesgazas nasser hospital functional israeli troop complexthe washington postidf hamas terrorist disguised doctor found hospitalthe jerusalem
3,"Russia takes full control of Avdiivka, as Kyiv decries 'artificial deficit' in ammo - POLITICO Europe","Sun, 18 Feb 2024 16:57:00 GMT",POLITICO Europe,https://news.google.com/rss/articles/CBMiaGh0dHBzOi8vd3d3LnBvbGl0aWNvLmV1L2FydGljbGUvcnVzc2lhLWF2ZGlpdmthLWZ1bGwtY29udHJvbC1hcy1reWl2LWRlY3JpZXMtYXJ0aWZpY2lhbC1kZWZpY2l0LWluLWFtbW8v0gEA?oc=5,"Russia takes full control of Avdiivka, as Kyiv decries 'artificial deficit' in ammoPOLITICO EuropeRussia raises its flag in Avdiivka, then presses the advantage on a vulnerable UkraineCNNHow Ukraine and Russia May Shift War Strategy After Avdiivka’s FallThe New York TimesUkrainian forces don't have enough artillery to battle Russia. A key withdrawal Saturday shows thatThe Associated PressRussia suffered 30K casualties, lost 400 tanks, IFVs to capture Ukraine townBusiness Insider",US,en,World,russia take control avdiivka decries artificial deficit politico europe russia take control avdiivka decries artificial deficit ammopolitico europerussia raise avdiivka press advantage vulnerable ukrainecnnhow ukraine russia shift strategy avdiivka fallthe timesukrainian force enough artillery battle russia withdrawal saturday show thatthe associated pressrussia suffered casualty tank capture ukraine townbusiness insider
4,Brazil's President Angers Israel After Comparing War in Gaza to the Holocaust - The New York Times,"Sun, 18 Feb 2024 21:46:16 GMT",The New York Times,https://news.google.com/rss/articles/CBMiWmh0dHBzOi8vd3d3Lm55dGltZXMuY29tLzIwMjQvMDIvMTgvd29ybGQvbWlkZGxlZWFzdC9icmF6aWwtbHVsYS1pc3JhZWwtZ2F6YS1ob2xvY2F1c3QuaHRtbNIBAA?oc=5,"Brazil's President Angers Israel After Comparing War in Gaza to the HolocaustThe New York TimesIsrael livid as Brazil's Lula says Israel like 'Hitler,' committing genocide in GazaThe Times of IsraelIsrael's Netanyahu slams Brazilian president's comparison of Gaza war to the HolocaustThe Associated PressIsrael to summon Brazilian ambassador after President Lula likens Israel’s actions in Gaza to HolocaustCNNBrazil’s Lula compares Israel’s war on Gaza with the HolocaustAl Jazeera English",US,en,World,brazil president anger israel comparing holocaust time brazil president anger israel comparing holocaustthe timesisrael livid brazil israel hitler committing genocide gazathe time israelisraels netanyahu slam brazilian president comparison holocaustthe associated pressisrael summon brazilian ambassador president likens israel action holocaustcnnbrazil compare israel holocaustal jazeera english
5,Israeli Cabinet Opposes Unilateral Recognition of a Palestinian State - The Wall Street Journal,"Sun, 18 Feb 2024 18:31:00 GMT",The Wall Street Journal,https://news.google.com/rss/articles/CBMidGh0dHBzOi8vd3d3Lndzai5jb20vd29ybGQvbWlkZGxlLWVhc3QvaXNyYWVsaS1jYWJpbmV0LW9wcG9zZXMtdW5pbGF0ZXJhbC1yZWNvZ25pdGlvbi1vZi1hLXBhbGVzdGluaWFuLXN0YXRlLTkyNWI5NGY40gEA?oc=5,"Israeli Cabinet Opposes Unilateral Recognition of a Palestinian StateThe Wall Street JournalIsrael 'outright rejects' foreign efforts to create Palestinian state after Hamas war, Netanyahu declaresFox NewsIsraeli Society Is Suffering From Versailles Syndrome - OpinionHaaretzIn the West Bank, an independent Palestine remains a distant dreamCNNTablet MagazineTablet Magazine",US,en,World,israeli cabinet opposes unilateral recognition palestinian state street journal israeli cabinet opposes unilateral recognition palestinian statethe street journalisrael outright reject foreign effort create palestinian state hamas netanyahu declaresfox newsisraeli society suffering versailles syndrome opinionhaaretzin independent palestine remains distant dreamcnntablet magazinetablet magazine
6,"Iran, wary of wider war, urges its proxies to avoid provoking U.S. - The Washington Post","Sun, 18 Feb 2024 09:00:00 GMT",The Washington Post,https://news.google.com/rss/articles/CBMiSWh0dHBzOi8vd3d3Lndhc2hpbmd0b25wb3N0LmNvbS93b3JsZC8yMDI0LzAyLzE4L2lyYW4tcHJveGllcy1taWRkbGUtZWFzdC_SAQA?oc=5,"Iran, wary of wider war, urges its proxies to avoid provoking U.S.The Washington PostOn Iranian commander's request, Iraqi terrorists dial down attacks on USThe Jerusalem PostIran commander requested Iraqi armed groups pause attacks on US targetsMiddle East EyeHow Iran's IRGC Commander Reined In Iraqi Armed Groups Attacking U.S. Troops | ReportHindustan TimesIraq's resistance plans hinge on a Gaza truceThe Cradle",US,en,World,wider urge proxy avoid provoking washington wider urge proxy avoid provoking usthe washington poston iranian commander request iraqi terrorist attack usthe jerusalem postiran commander requested iraqi armed group pause attack targetsmiddle eyehow iran commander reined iraqi armed group attacking troop reporthindustan timesiraqs resistance plan hinge trucethe cradle
7,Hungarian government declines to meet U.S. senators seeking approval for Sweden’s NATO bid - PBS NewsHour,"Sun, 18 Feb 2024 19:12:03 GMT",PBS NewsHour,https://news.google.com/rss/articles/CBMifmh0dHBzOi8vd3d3LnBicy5vcmcvbmV3c2hvdXIvcG9saXRpY3MvaHVuZ2FyaWFuLWdvdmVybm1lbnQtZGVjbGluZXMtdG8tbWVldC11LXMtc2VuYXRvcnMtc2Vla2luZy1hcHByb3ZhbC1mb3Itc3dlZGVucy1uYXRvLWJpZNIBggFodHRwczovL3d3dy5wYnMub3JnL25ld3Nob3VyL2FtcC9wb2xpdGljcy9odW5nYXJpYW4tZ292ZXJubWVudC1kZWNsaW5lcy10by1tZWV0LXUtcy1zZW5hdG9ycy1zZWVraW5nLWFwcHJvdmFsLWZvci1zd2VkZW5zLW5hdG8tYmlk?oc=5,"Hungarian government declines to meet U.S. senators seeking approval for Sweden’s NATO bidPBS NewsHourHungary Snubs U.S. Senators Pushing for Sweden's Entry Into NATOThe New York TimesHungary can ratify Sweden’s NATO bid as soon as Feb 26, Orban saysCNNSweden's Kurds pay price of NATO deal with TurkeyAl-MonitorOrbán pledges to back Sweden Nato bid as he seeks to dispel domestic scandalFinancial Times",US,en,World,hungarian government decline senator seeking approval sweden newshour hungarian government decline senator seeking approval sweden bidpbs newshourhungary snub senator pushing sweden entry natothe timeshungary ratify sweden orban sayscnnswedens kurd price turkeyalmonitororbán pledge sweden seek dispel domestic scandalfinancial time
8,US to block UN resolution for Gaza ceasefire as Israel bombs Rafah - Euronews,"Sun, 18 Feb 2024 15:56:38 GMT",Euronews,https://news.google.com/rss/articles/CBMicGh0dHBzOi8vd3d3LmV1cm9uZXdzLmNvbS8yMDI0LzAyLzE4L3VzLXNheXMtaXQtd2lsbC1ibG9jay11bi1yZXNvbHV0aW9uLWZvci1nYXphLWNlYXNlZmlyZS1hcy1pc3JhZWwtYm9tYnMtcmFmYWjSAQA?oc=5,"US to block UN resolution for Gaza ceasefire as Israel bombs RafahEuronewsUS signals it will block proposed Gaza ceasefire resolution at UNAl Jazeera EnglishUN Security Council to vote Tuesday on resolution demanding Gaza ceasefire, US vows to use its vetoThe Washington PostUS signals veto in Security Council Gaza vote as Egypt braces for IDF Rafah operationThe Times of IsraelU.S. threatens to veto new Gaza ceasefire resolutionCNN",US,en,World,block resolution ceasefire israel bomb rafah euronews block resolution ceasefire israel bomb rafaheuronewsus signal block proposed ceasefire resolution jazeera englishun security council tuesday resolution demanding ceasefire vetothe washington postus signal security council egypt brace rafah operationthe time israelus threatens ceasefire resolutioncnn
9,Papua New Guinea ambush: More than 50 shot dead in Highlands region - BBC.com,"Sun, 18 Feb 2024 23:54:15 GMT",BBC.com,https://news.google.com/rss/articles/CBMiLGh0dHBzOi8vd3d3LmJiYy5jb20vbmV3cy93b3JsZC1hc2lhLTY4MzAyMDUx0gEwaHR0cHM6Ly93d3cuYmJjLmNvbS9uZXdzL3dvcmxkLWFzaWEtNjgzMDIwNTEuYW1w?oc=5,Papua New Guinea ambush: More than 50 shot dead in Highlands regionBBC.comView Full Coverage on Google News,US,en,World,papua guinea ambush highland region bbccom papua guinea ambush highland regionbbccomview coverage google
